timestamp,symbol,sector,direction,brain1_prob,brain2_conviction,rel_strength,score,price,action,reason
2026-03-12 09:15:01,INDUSINDBK,Finance,FLAT,0.498,0.0,-1.7658,0.0,862.95,SKIP,LOW_PROB
2026-03-12 09:15:01,PIIND,Metals,FLAT,0.3509,0.0,-2.3201,0.0,2987.2,SKIP,LOW_PROB
2026-03-12 09:15:01,FLUOROCHEM,Metals,FLAT,0.4195,0.0,-1.0188,0.0,3207.1,SKIP,LOW_PROB
2026-03-12 09:15:01,LLOYDSME,Metals,FLAT,0.3111,0.0,-1.4513,0.0,1178.0,SKIP,LOW_PROB
2026-03-12 09:15:01,BANKBARODA,Banking,FLAT,0.3875,0.0,-0.3506,0.0,285.8,SKIP,LOW_PROB
2026-03-12 09:15:01,GVT&D,Infrastructure,FLAT,0.3633,0.0,-1.4877,0.0,3784.1,SKIP,LOW_PROB
2026-03-12 09:15:01,TITAN,Consumer,FLAT,0.3684,0.0,-0.3271,0.0,4100.0,SKIP,LOW_PROB
2026-03-12 09:15:01,JUBLFOOD,Consumer,FLAT,0.4089,0.0,-0.7155,0.0,468.95,SKIP,LOW_PROB
2026-03-12 09:15:01,BHARTIARTL,Telecom,FLAT,0.2904,0.0,-0.9346,0.0,1798.9,SKIP,LOW_PROB
2026-03-12 09:15:01,NYKAA,Consumer,FLAT,0.437,0.0,0.2125,0.0,246.2,SKIP,LOW_PROB
2026-03-12 09:15:01,AIIL,Finance,FLAT,0.4346,0.0,-0.6785,0.0,445.85,SKIP,LOW_PROB
2026-03-12 09:15:01,M&MFIN,Finance,FLAT,0.2975,0.0,0.0425,0.0,2297.95,SKIP,LOW_PROB
2026-03-12 09:15:01,AJANTPHARM,Pharma,FLAT,0.3329,0.0,-0.8879,0.0,3020.0,SKIP,LOW_PROB
2026-03-12 09:15:01,JBCHEPHARM,Pharma,FLAT,0.2936,0.0,-0.0403,0.0,2129.7,SKIP,LOW_PROB
2026-03-12 09:15:01,PAGEIND,Consumer,FLAT,0.3329,0.0,0.8234,0.0,31500.0,SKIP,LOW_PROB
2026-03-12 09:15:01,MUTHOOTFIN,Finance,FLAT,0.3875,0.0,-2.342,0.0,3155.0,SKIP,LOW_PROB
2026-03-12 09:15:01,UNOMINDA,Auto,FLAT,0.4177,0.0,-0.1282,0.0,1060.0,SKIP,LOW_PROB
2026-03-12 09:15:01,MRF,Auto,FLAT,0.3329,0.0,-0.1244,0.0,135795.0,SKIP,LOW_PROB
2026-03-12 09:15:01,BPCL,Energy,FLAT,0.3684,0.0,-1.5391,0.0,316.7,SKIP,LOW_PROB
2026-03-12 09:15:01,AXISBANK,Banking,FLAT,0.3875,0.0,-1.3394,0.0,1241.3,SKIP,LOW_PROB
2026-03-12 09:15:01,AIAENG,Infrastructure,FLAT,0.44,0.0,0.5597,0.0,3700.0,SKIP,LOW_PROB
2026-03-12 09:15:01,INDIANB,Finance,FLAT,0.3875,0.0,-0.865,0.0,890.2,SKIP,LOW_PROB
2026-03-12 09:15:01,ALKEM,Pharma,FLAT,0.3494,0.0,-2.9251,0.0,5515.5,SKIP,LOW_PROB
2026-03-12 09:15:01,JINDALSTEL,Metals,FLAT,0.3415,0.0,-0.475,0.0,1172.2,SKIP,LOW_PROB
2026-03-12 09:15:01,ABBOTINDIA,Pharma,FLAT,0.3235,0.0,-2.2017,0.0,27000.0,SKIP,LOW_PROB
2026-03-12 09:15:01,VBL,FMCG,FLAT,0.3875,0.0,-0.1357,0.0,427.35,SKIP,LOW_PROB
2026-03-12 09:15:01,TATASTEEL,Metals,FLAT,0.3633,0.0,-0.6189,0.0,192.78,SKIP,LOW_PROB
2026-03-12 09:15:01,RADICO,FMCG,FLAT,0.4279,0.0,2.548,0.0,2855.8,SKIP,LOW_PROB
2026-03-12 09:15:01,CRISIL,Finance,FLAT,0.4521,0.0,0.9631,0.0,4250.1,SKIP,LOW_PROB
2026-03-12 09:15:01,UNIONBANK,Banking,FLAT,0.4195,0.0,-0.619,0.0,177.46,SKIP,LOW_PROB
2026-03-12 09:15:01,BANKINDIA,Banking,FLAT,0.3875,0.0,-0.365,0.0,150.83,SKIP,LOW_PROB
2026-03-12 09:15:01,APOLLOHOSP,Pharma,FLAT,0.3096,0.0,-2.7264,0.0,7590.0,SKIP,LOW_PROB
2026-03-12 09:15:01,SOLARINDS,Metals,FLAT,0.3096,0.0,-1.3636,0.0,14365.0,SKIP,LOW_PROB
2026-03-12 09:15:01,CIPLA,Pharma,FLAT,0.3449,0.0,-0.9099,0.0,1326.9,SKIP,LOW_PROB
2026-03-12 09:15:01,TATACOMM,Telecom,FLAT,0.4346,0.0,0.2835,0.0,1461.0,SKIP,LOW_PROB
